condition,image_index,key_press,response_time,response_corr,stimulus_side,prioritization_cue,n200lat
1,25,2,0.470837955442221,1,1,75,0.1412109375
4,43,1,0.516771844406321,1,1,76,0.1822265625
1,14,1,0.376584582467331,1,1,75,0.210546875
4,54,1,0.659870556916758,1,1,76,0.148046875
4,64,2,0.309637776313139,1,1,76,0.1333984375
2,20,2,0.338684874795945,1,0,76,0.1265625
3,67,2,0.579061894040024,1,0,74,0.1041015625
2,5,1,0.545367182077825,1,0,76,0.24765625
4,49,1,0.967237455372924,1,1,76,0.1509765625
3,44,1,0.750616238539806,1,0,74,0.1998046875
3,64,2,0.372962606824331,1,1,75,0.103125
3,54,1,0.610024087872262,1,0,74,0.09921875
1,4,1,0.377867081317163,1,0,74,0.2486328125
4,42,1,0.668444762342915,1,0,76,0.2134765625
4,62,1,1.16638437597157,0,1,76,0.222265625
2,16,1,0.412702588662796,1,0,76,0.09921875
1,11,1,0.42878291557281,1,0,74,0.1158203125
2,13,1,0.473865531354022,1,1,76,0.1080078125
4,66,2,0.346449223152376,1,1,76,0.09921875
2,10,1,0.476987995870331,1,0,76,0.144140625
4,63,2,0.366779765888168,1,1,76,0.1509765625
2,14,1,0.392655883268162,1,1,76,0.1744140625
2,7,1,0.388237636990198,1,1,76,0.1431640625
3,57,2,0.333929181853819,1,1,75,0.241796875
2,17,1,0.35665228824837,1,1,76,0.09921875
2,30,2,0.421010135714823,1,1,76,0.1099609375
4,71,1,0.401893211757852,0,0,76,0.1666015625
4,50,1,0.370812354924055,1,1,76,0.1373046875
4,40,1,0.379610110836438,1,0,76,0.1998046875
2,21,2,0.307399587008149,1,1,76,0.179296875
1,30,2,0.32613319732809,1,1,75,0.1294921875
4,57,2,0.3987219072269,1,0,76,0.1529296875
2,27,2,0.349135667815062,1,0,76,0.1490234375
3,38,1,0.55082947169376,1,0,74,0.18125
3,58,2,0.491097854183863,1,1,75,0.171484375
1,18,1,0.455775703143445,1,0,74,0.2486328125
2,28,2,0.462330189453496,1,1,76,0.101171875
3,71,1,0.586867949595216,0,1,75,0.09921875
1,27,2,0.339998196270244,1,1,75,0.1333984375
1,2,1,0.272700342086864,1,0,74,0.1685546875
3,51,1,0.374383664432571,1,0,74,0.1265625
3,37,1,0.492359190933712,1,1,75,0.144140625
4,59,1,0.449442548109801,0,1,76,0.124609375
4,37,1,0.342157835027137,1,0,76,0.167578125
3,55,2,0.594106676286174,1,0,74,0.1568359375
2,34,2,0.560236927937694,1,1,76,0.140234375
4,68,1,0.440149555287462,0,0,76,0.2486328125
3,47,1,0.509921832588589,1,1,75,0.09921875
4,52,1,0.431129851098376,1,0,76,0.16953125
2,3,1,0.40235166254115,1,1,76,0.171484375
4,61,2,0.598475448133286,1,0,76,0.15390625
1,28,2,0.333964833497703,1,0,74,0.233984375
4,70,2,0.513094873676891,1,0,76,0.1568359375
4,55,2,0.614425063130511,1,1,76,0.1353515625
1,10,1,0.368859475799582,1,1,75,0.14609375
4,48,1,0.4517924442398,1,0,76,0.15
2,11,1,0.352842373956264,1,1,76,0.136328125
1,22,2,0.679170346689716,1,1,75,0.1236328125
1,35,2,0.361622202042781,1,1,75,0.1646484375
3,43,1,0.482028071004606,1,0,74,0.13046875
3,60,2,0.425153165234406,1,1,75,0.1333984375
4,45,1,0.400363440271576,1,1,76,0.18515625
1,16,1,0.385884678252296,1,1,75,0.1587890625
2,1,1,0.408088584258621,1,0,76,0.1255859375
3,56,2,0.390335725036493,1,1,75,0.1548828125
2,6,1,0.26958944134185,1,0,76,0.16953125
3,62,1,0.474268815385585,0,0,74,0.1822265625
2,12,1,0.275090815907788,1,0,76,0.144140625
1,8,1,0.374227926706226,1,0,74,0.1333984375
1,5,1,0.609080351789999,1,1,75,0.1763671875
1,6,1,0.577614509447812,1,0,74,0.15390625
3,61,2,0.495943828135751,1,1,75,0.1265625
2,2,1,0.400545669183884,1,1,76,0.16953125
2,31,2,0.442680257248867,1,0,76,0.2486328125
2,35,2,0.367349152246788,1,0,76,0.13828125
1,1,1,0.404670069287931,1,1,75,0.2486328125
3,46,1,0.434404219482531,1,0,74,0.108984375
1,24,2,0.427559725832907,1,0,74,0.1041015625
1,21,2,0.325484471755772,1,1,75,0.1236328125
3,69,1,0.592294373608638,0,0,74,0.1548828125
2,33,2,0.450649812785741,1,0,76,0.1021484375
2,4,1,0.489860657552526,1,0,76,0.1373046875
3,68,2,0.520843371606134,1,0,74,0.1548828125
4,58,1,0.610495883764997,0,0,76,0.1255859375
3,48,1,0.386826817101792,1,1,75,0.2310546875
2,15,2,0.349797283211046,0,0,76,0.2388671875
1,26,2,0.440995944718452,1,0,74,0.151953125
4,47,1,0.50401763922946,1,1,76,0.1529296875
1,20,2,0.403888313077914,1,0,74,0.2486328125
1,13,1,0.559173486421969,1,0,74,0.1265625
1,32,2,0.349515712348875,1,1,75,0.18125
1,3,1,0.288962131635344,1,0,74,0.09921875
3,65,2,0.38049654554743,1,1,75,0.1109375
3,41,1,0.39291508788483,1,1,75,0.16171875
4,41,1,0.611092714177175,1,0,76,0.23203125
4,65,1,0.599753093085383,0,0,76,0.13828125
1,31,2,0.377715995969993,1,0,74,0.140234375
4,72,2,0.392284670788285,1,1,76,0.1236328125
3,45,2,0.543022811578339,0,1,75,0.134375
1,7,1,1.27607497294412,1,1,75,0.2251953125
2,32,2,0.79956580626731,1,1,76,0.1451171875
4,44,1,0.359699859433022,1,0,76,0.136328125
4,60,2,0.397948706911848,1,1,76,0.2486328125
3,40,1,0.383110109592053,1,0,74,0.09921875
4,67,2,0.324800288596634,1,1,76,0.128515625
2,9,1,0.362435057035327,1,0,76,0.1021484375
3,53,1,0.548918909303211,1,0,74,0.1431640625
1,29,2,0.35768443692541,1,1,75,0.218359375
2,25,2,0.322665200463234,1,1,76,0.1265625
1,33,2,0.669214280561391,1,0,74,0.1333984375
2,23,2,0.358166273992538,1,1,76,0.1021484375
4,53,1,0.334979178743197,1,0,76,0.1880859375
3,49,1,0.382313819055526,1,1,75,0.1646484375
3,39,1,0.347499187700123,1,0,74,0.1578125
4,46,1,0.3919725534588,1,1,76,0.09921875
2,36,2,1.07432161862926,1,0,76,0.1080078125
3,52,1,0.393379014542006,1,1,75,0.09921875
4,51,1,0.589441769396217,1,1,76,0.1314453125
1,17,1,1.22981185485605,1,0,74,0.21640625
1,23,2,0.295790737538482,1,1,75,0.2115234375
2,26,2,0.251223898792887,1,1,76,0.194921875
1,34,1,0.304560925002079,0,0,74,0.165625
3,66,2,0.537609672965118,1,0,74,0.1587890625
2,22,2,0.36996445533623,1,1,76,0.105078125
3,50,1,1.27156928684326,1,1,75,0.09921875
4,56,2,0.610525599273387,1,0,76,0.1470703125
4,38,1,0.81423052905302,1,0,76,0.1578125
3,70,2,1.00125106668838,1,1,75,0.140234375
2,29,2,0.575556852305454,1,1,76,0.1294921875
3,63,2,0.371949134831084,1,1,75,0.1294921875
1,9,1,0.344473746408767,1,0,74,0.191015625
1,19,2,0.391023781860895,1,0,74,0.1060546875
1,15,1,0.347211088582299,1,1,75,0.103125
3,72,2,0.534398173879708,1,0,74,0.14609375
4,69,2,0.459261583052466,1,1,76,0.1353515625
4,39,1,0.467623766933684,1,0,76,0.1451171875
1,36,2,0.33921932353951,1,1,75,0.1333984375
3,42,1,0.451120036323118,1,0,74,0.1568359375
2,8,2,0.246464342136278,0,1,76,0.2212890625
2,18,1,0.492277398649094,1,0,76,0.1978515625
2,19,2,0.486029593600506,1,0,76,0.1734375
3,59,2,0.528464279938817,1,0,74,0.1890625
1,12,1,0.358510781325094,1,1,75,0.144140625
2,24,2,0.479072833348255,1,0,76,0.2115234375
3,41,1,1.40653895433479,1,1,75,0.163671875
1,14,1,0.419655353344751,1,1,75,0.1529296875
3,58,2,0.794450688526922,1,0,74,0.15
4,69,2,0.586749774222881,1,0,76,0.17734375
3,54,1,0.572146107054323,1,0,74,0.13828125
1,30,2,0.400912657203662,1,1,75,0.1548828125
4,64,2,0.410632987100144,1,0,76,0.1333984375
2,4,1,0.326670653945257,1,1,76,0.2486328125
1,26,2,0.329744509821467,1,1,75,0.18125
1,23,2,0.337364900670764,1,0,74,0.1548828125
1,6,2,0.611583614673691,0,0,74,0.136328125
3,51,1,0.419790284740884,1,1,75,0.183203125
2,17,1,0.36352214357612,1,1,76,0.18515625
2,23,2,0.323352926395273,1,0,76,0.163671875
1,35,2,0.295648004080249,1,0,74,0.1666015625
3,43,1,0.374934802024654,1,0,74,0.14609375
4,68,2,0.424390759929338,1,1,76,0.1197265625
4,59,2,0.33782580701336,1,1,76,0.1431640625
2,14,1,0.349704996952823,1,1,76,0.1421875
4,46,1,0.692622993195982,1,1,76,0.1509765625
2,18,1,0.419795131174396,1,1,76,0.134375
4,62,2,0.541619505155722,1,0,76,0.1568359375
4,55,2,0.277649111196297,1,1,76,0.214453125
4,43,1,0.544156153205222,1,1,76,0.159765625
2,32,2,0.372896926196518,1,0,76,0.22421875
4,39,2,0.54669231362459,0,0,76,0.09921875
3,68,1,0.455501093432758,0,1,75,0.165625
2,7,1,0.415677530508219,1,1,76,0.144140625
3,39,1,0.877611384641568,1,1,75,0.2486328125
3,47,2,0.536207324385032,0,1,75,0.09921875
4,70,2,0.472073594645735,1,1,76,0.2017578125
3,63,2,0.423077587729495,1,1,75,0.1568359375
4,44,2,0.512589647837558,0,1,76,0.1333984375
3,67,1,0.64352022042749,0,0,74,0.2046875
3,50,1,0.47051181131792,1,0,74,0.1138671875
2,28,2,0.370665342273242,1,0,76,0.148046875
2,2,2,0.35453115476048,0,1,76,0.10703125
2,5,1,0.878792558683926,1,1,76,0.1216796875
3,42,1,0.414264558583454,1,1,75,0.15
3,65,2,0.247694159648745,1,1,75,0.132421875
4,45,1,0.26023528094629,1,0,76,0.13828125
2,15,1,0.426794775405142,1,1,76,0.1607421875
3,52,1,0.348453470001914,1,1,75,0.11875
1,28,2,1.56044627747542,1,0,74,0.1783203125
1,19,2,0.292074487802893,1,0,74,0.2349609375
4,67,2,0.257671474952986,1,1,76,0.103125
1,31,2,0.359005525630892,1,0,74,0.18515625
4,71,1,0.562541131248508,0,0,76,0.23203125
3,60,2,0.372675167000125,1,0,74,0.16171875
4,63,2,0.4892496585353,1,1,76,0.1412109375
1,13,1,0.350116000945491,1,1,75,0.155859375
4,58,2,0.507710510144534,1,1,76,0.1568359375
1,16,1,0.380440408513095,1,1,75,0.1509765625
3,70,2,0.383953911605204,1,0,74,0.1509765625
3,49,1,0.575271835698913,1,0,74,0.167578125
4,66,2,0.363043476098028,1,1,76,0.1841796875
3,48,1,0.391155207802512,1,1,75,0.12265625
1,15,1,0.454950662404372,1,1,75,0.1470703125
3,64,2,0.256520297552925,1,1,75,0.13046875
2,8,1,0.493490766149989,1,1,76,0.140234375
2,36,2,0.306787184814311,1,1,76,0.09921875
2,24,2,0.249096761995133,1,1,76,0.1431640625
4,42,1,0.297466071228882,1,1,76,0.148046875
2,29,2,0.43123455199111,1,0,76,0.155859375
3,38,1,0.328222595130683,1,0,74,0.1509765625
4,38,1,0.346195616315526,1,1,76,0.1548828125
2,26,2,0.314132000647078,1,0,76,0.2271484375
3,37,1,0.404220012688711,1,1,75,0.1041015625
2,27,2,0.330182947916001,1,0,76,0.1705078125
1,25,2,0.384962261005967,1,1,75,0.1509765625
1,29,2,0.763266083668896,1,1,75,0.1265625
2,30,2,0.355534476109824,1,0,76,0.1314453125
3,45,1,0.453145666695491,1,0,74,0.18515625
3,40,1,0.496260605306816,1,0,74,0.2486328125
3,56,2,0.50366843224765,1,1,75,0.151953125
2,6,1,0.526858037791499,1,0,76,0.187109375
3,44,1,0.401654024804884,1,0,74,0.18515625
4,57,2,0.573759797982348,1,1,76,0.1294921875
2,9,1,0.271059585266812,1,0,76,0.171484375
2,20,2,0.337539168293915,1,0,76,0.1451171875
3,72,2,0.508898948861315,1,1,75,0.120703125
1,32,2,0.569745017352943,1,1,75,0.09921875
4,47,1,0.806755302342935,1,1,76,0.1578125
4,54,1,0.383618383111752,1,0,76,0.1509765625
2,13,1,0.397824734727692,1,0,76,0.1705078125
4,60,2,0.404532334026044,1,0,76,0.1421875
2,19,2,0.308022649865052,1,1,76,0.1353515625
4,61,1,0.31520954608186,0,0,76,0.1626953125
1,10,1,0.411548371045683,1,0,74,0.151953125
4,56,2,0.523844160270528,1,1,76,0.1822265625
4,49,1,0.388920504048656,1,0,76,0.140234375
2,34,2,0.459842931247294,1,1,76,0.1421875
4,50,1,0.562749197029916,1,1,76,0.1236328125
1,12,1,0.47262091828452,1,0,74,0.14609375
1,11,2,0.387948963167219,0,1,75,0.1646484375
2,12,1,0.378343347970258,1,1,76,0.13046875
1,17,1,0.441496443542746,1,0,74,0.103125
2,25,2,0.498543171329402,1,0,76,0.11875
1,33,2,0.692067384840811,1,0,74,-9.223372036854776e+18
3,53,1,0.380644346863846,1,1,75,-9.223372036854776e+18
4,41,1,0.451888760900147,1,0,76,-9.223372036854776e+18
1,4,1,0.764375364788975,1,1,75,-9.223372036854776e+18
4,65,2,0.360178526912932,1,0,76,-9.223372036854776e+18
4,51,1,0.477166410827522,1,0,76,-9.223372036854776e+18
3,62,1,0.551596686113953,0,0,74,0.1431640625
3,61,2,0.450565099702544,1,0,74,0.148046875
2,33,2,0.452438221647753,1,1,76,0.171484375
1,7,1,0.437798066899632,1,1,75,0.163671875
1,22,2,0.44729338342313,1,0,74,0.155859375
1,36,2,0.494788866635645,1,0,74,0.101171875
4,48,1,0.433038161938384,1,0,76,0.1333984375
4,52,1,0.442840022888959,1,0,76,0.2115234375
2,10,1,0.841759519336847,1,0,76,0.1529296875
4,72,2,0.510429715508508,1,0,76,0.1158203125
2,16,1,0.336258547811667,1,1,76,0.132421875
2,1,1,0.634093567527998,1,0,76,0.11484375
3,59,1,1.05498544328202,0,0,74,0.1890625
3,71,2,0.645331908594926,1,0,74,0.1705078125
1,27,2,0.637644324472603,1,1,75,0.1822265625
1,21,2,0.767827643086093,1,1,75,0.1607421875
1,1,1,0.551318667976375,1,0,74,0.1294921875
3,46,1,0.469567913520223,1,1,75,0.1333984375
2,11,2,0.701439303884399,0,1,76,0.136328125
3,69,1,0.628542576720974,0,1,75,0.1861328125
2,21,2,0.364853377949657,1,0,76,0.15390625
1,24,2,0.385746196619039,1,0,74,0.140234375
1,3,1,0.317001136972067,1,0,74,0.1158203125
1,20,2,0.331862411524526,1,1,75,0.144140625
3,66,2,0.592213817811171,1,0,74,0.2486328125
1,34,2,0.38485236786164,1,1,75,0.23984375
2,31,2,0.283936008657292,1,1,76,0.179296875
2,22,2,0.347584112253571,1,0,76,0.16171875
1,18,1,0.521468041647495,1,0,74,0.1900390625
3,57,2,0.447669178618526,1,0,74,0.1490234375
2,3,1,0.294659428528576,1,0,76,0.1353515625
3,55,2,0.350456303723149,1,1,75,0.1626953125
4,40,1,0.563945231312573,1,0,76,0.1470703125
2,35,2,0.492944258542593,1,0,76,0.1626953125
1,2,1,0.485644779758331,1,0,74,0.1265625
4,37,1,0.375619281244326,1,0,76,0.1958984375
1,9,2,0.35716350247003,0,1,75,0.1666015625
4,53,1,0.552152493500216,1,1,76,0.2330078125
1,8,1,0.364991663038381,1,1,75,0.1568359375
1,5,1,0.467569035564338,1,0,74,0.17734375
